Emin_GeV,Emax_GeV,N_events_baseline
9603.11346560808,10000.0,0.0
10000.0,12589.254117941662,0.0
12589.254117941662,15848.931924611108,3.5037201340464906e-08
15848.931924611108,19952.62314968875,1.373525687223737e-07
19952.62314968875,25118.864315095718,9.965534589547488e-08
25118.864315095718,31622.776601683665,1.287162092667696e-07
31622.776601683665,39810.71705534953,1.24069748449701e-07
39810.71705534953,50118.72336272694,1.197842538546907e-07
50118.72336272694,63095.73444801891,1.1582990180092776e-07
63095.73444801891,79432.82347242757,1.121793747310548e-07
79432.82347242757,99999.99999999919,8.200715384953233e-08
99999.99999999919,125892.5411794156,1.0670345854677841e-07
125892.5411794156,158489.31924610978,1.0374663252407458e-07
158489.31924610978,199526.23149688583,1.0099806482919913e-07
199526.23149688583,251188.64315095515,9.742817229546737e-08
251188.64315095515,316227.76601683407,9.95837694184796e-08
316227.76601683407,398107.17055349203,8.856541864157544e-08
398107.17055349203,501187.2336272653,1.4045185056736247e-07
501187.2336272653,630957.3444801839,1.4367671708945663e-07
630957.3444801839,794328.2347242691,1.4424403636334193e-07
794328.2347242691,999999.9999999836,1.7699200265322425e-07
999999.9999999836,1258925.4117941456,2.838981052864833e-07
1258925.4117941456,1584893.192461085,3.092571343307488e-07
1584893.192461085,1995262.314968842,2.50819736283404e-07
1995262.314968842,2511886.4315095306,3.468177117730948e-07
2511886.4315095306,3162277.660168315,3.0785425009556163e-07
3162277.660168315,3981071.705534888,2.914025760511925e-07
3981071.705534888,5011872.336272612,3.0091104764765695e-07
5011872.336272612,6309573.444801788,3.831519839350168e-07
6309573.444801788,7943282.347242626,3.061629211483553e-07
7943282.347242626,9999999.999999754,3.0239048704497694e-07
9999999.999999754,12589254.117941353,2.4350343475690726e-07
12589254.117941353,15848931.92461072,2.3236424609248953e-07
15848931.92461072,19952623.14968826,2.2295208805868122e-07
19952623.14968826,25118864.315095104,2.1468436139737087e-07
25118864.315095104,31622776.601682886,1.5633238184129063e-07
31622776.601682886,39810717.05534855,2.0237439355060205e-07
39810717.05534855,50118723.36272571,1.8499939364009697e-07
50118723.36272571,63095734.448017366,2.4496933955168377e-07
63095734.448017366,79432823.47242561,4.7637564095008165e-07
79432823.47242561,99999999.99999672,4.3695053073573914e-07
99999999.99999672,125892541.1794125,4.2346670432634186e-07
125892541.1794125,158489319.2461059,3.2353842185143475e-07
158489319.2461059,199526231.49688095,4.4695820381666535e-07
199526231.49688095,251188643.15094897,4.1977677508958836e-07
251188643.15094897,316227766.0168263,3.3955631481587e-07
316227766.0168263,398107170.5534823,2.7313940804828553e-07
398107170.5534823,501187233.627253,2.1849812023475615e-07
501187233.627253,630957344.4801685,1.3273460070002141e-07
630957344.4801685,794328234.7242497,1.430184729006419e-07
794328234.7242497,999999999.9999591,1.1084729888879462e-07
999999999.9999591,1258925411.7941146,8.521851876444263e-08
1258925411.7941146,1584893192.461046,6.578587619075683e-08
1584893192.461046,1995262314.9687932,5.114414181720579e-08
1995262314.9687932,2511886431.509469,3.991955161252877e-08
2511886431.509469,3162277660.168237,2.438559055775152e-08
3162277660.168237,3981071705.53479,2.668101325148484e-08
3981071705.53479,5011872336.27249,2.0935945393555005e-08
5011872336.27249,6309573444.801633,1.63584392867448e-08
6309573444.801633,7943282347.242432,1.2869504838716843e-08
7943282347.242432,9999999999.99951,1.0155352167064785e-08
9999999999.99951,12589254117.941044,6.237575718663866e-09
12589254117.941044,15848931924.61033,7.056121288650257e-09
15848931924.61033,19952623149.687767,5.835700779215914e-09
19952623149.687767,25118864315.094486,3.931679605308702e-09
25118864315.094486,31622776601.682114,5.938032361410459e-10
31622776601.682114,39810717055.34757,4.358577372851844e-10
39810717055.34757,50118723362.72448,2.6037511274990623e-10
50118723362.72448,63095734448.015816,2.8890678872043825e-10
63095734448.015816,79432823472.42366,2.3132812291817193e-10
79432823472.42366,99999999999.99428,1.8524350605313094e-10
99999999999.99428,104132894355.70341,4.130158543174203e-11
