fe,fmu,ftau,chi2,ndof,shape_normalized
0.0,0.0,1.0,0.005644137074696155,2,True
0.0,0.0333333333,0.9666666666666667,0.0038633752451531656,2,True
0.0,0.0666666667,0.9333333333333333,0.0025307228323442482,2,True
0.0,0.1,0.9,0.0015564451138508093,2,True
0.0,0.1333333333,0.8666666666666667,0.0008704689009847723,2,True
0.0,0.1666666667,0.8333333333333334,0.0004175448604016607,2,True
0.0,0.2,0.8,0.00015373835218762663,2,True
0.0,0.2333333333,0.7666666666666666,4.3846234007571214e-05,2,True
0.0,0.2666666667,0.7333333333333333,5.947016685057306e-05,2,True
0.0,0.3,0.7,0.00017756249099622106,2,True
0.0,0.3333333333,0.6666666666666666,0.00037931698606017485,2,True
0.0,0.3666666667,0.6333333333333333,0.0006493144661691123,2,True
0.0,0.4,0.6,0.0009748588127785624,2,True
0.0,0.4333333333,0.5666666666666667,0.0013454568148322749,2,True
0.0,0.4666666667,0.5333333333333333,0.0017524076340483354,2,True
0.0,0.5,0.5,0.0021884765967214027,2,True
0.0,0.5333333333,0.4666666666666667,0.0026476344065764533,2,True
0.0,0.5666666667,0.43333333333333335,0.0031248475129231714,2,True
0.0,0.6,0.4,0.0036159088282319077,2,True
0.0,0.6333333333,0.36666666666666664,0.004117300570275573,2,True
0.0,0.6666666667,0.3333333333333333,0.004626082970499783,2,True
0.0,0.7,0.3,0.005139804204576669,2,True
0.0,0.7333333333,0.26666666666666666,0.005656428314494124,2,True
0.0,0.7666666667,0.23333333333333334,0.006174279410049801,2,True
0.0,0.8,0.2,0.006692002718903962,2,True
0.0,0.8333333333,0.16666666666666666,0.007208547750456203,2,True
0.0,0.8666666667,0.13333333333333333,0.007723191737475825,2,True
0.0,0.9,0.1,0.008235667131124036,2,True
0.0,0.9333333333,0.06666666666666667,0.008746676827418566,2,True
0.0,0.9666666667,0.03333333333333333,0.00926089970011732,2,True
0.0,1.0,0.0,0.009715577242682835,2,True
0.0333333333,0.0,0.9666666666666667,0.005610436440546075,2,True
0.0333333333,0.0333333333,0.9333333333333333,0.003892050206436475,2,True
0.0333333333,0.0666666667,0.9,0.0025918379420801843,2,True
0.0333333333,0.1,0.8666666666666667,0.0016287260645739278,2,True
0.0333333333,0.1333333333,0.8333333333333334,0.000938863965281118,2,True
0.0333333333,0.1666666667,0.8,0.00047150965959327713,2,True
0.0333333333,0.2,0.7666666666666666,0.00018601392305599192,2,True
0.0333333333,0.2333333333,0.7333333333333333,4.957889526411339e-05,2,True
0.0333333333,0.2666666667,0.7,3.557154623464999e-05,2,True
0.0333333333,0.3,0.6666666666666666,0.0001222403961206694,2,True
0.0333333333,0.3333333333,0.6333333333333333,0.00029172914889340413,2,True
0.0333333333,0.3666666667,0.6,0.0005293115279312342,2,True
0.0333333333,0.4,0.5666666666666667,0.0008227926874709954,2,True
0.0333333333,0.4333333333,0.5333333333333333,0.0011620373215018246,2,True
0.0333333333,0.4666666667,0.5,0.0015385950124615884,2,True
0.0333333333,0.5,0.4666666666666667,0.0019454008625640364,2,True
0.0333333333,0.5333333333,0.43333333333333335,0.0023765348919139776,2,True
0.0333333333,0.5666666667,0.4,0.002827027664419255,2,True
0.0333333333,0.6,0.36666666666666664,0.0032927025952036765,2,True
0.0333333333,0.6333333333,0.3333333333333333,0.0037700476462338194,2,True
0.0333333333,0.6666666667,0.3,0.0042561108543432286,2,True
0.0333333333,0.7,0.26666666666666666,0.004748415599041601,2,True
0.0333333333,0.7333333333,0.23333333333333334,0.005244892857804461,2,True
0.0333333333,0.7666666667,0.2,0.005743829256548289,2,True
0.0333333333,0.8,0.16666666666666666,0.006243832321115666,2,True
0.0333333333,0.8333333333,0.13333333333333333,0.006743820261711259,2,True
0.0333333333,0.8666666667,0.1,0.007243061714098627,2,True
0.0333333333,0.9,0.06666666666666667,0.00774136549266444,2,True
0.0333333333,0.9333333333,0.03333333333333333,0.008240018884080253,2,True
0.0333333333,0.9666666667,0.0,0.008732381730400935,2,True
0.0666666667,0.0,0.9333333333333333,0.005580268675959316,2,True
0.0666666667,0.0333333333,0.9,0.003919987046457982,2,True
0.0666666667,0.0666666667,0.8666666666666667,0.0026508520809777588,2,True
0.0666666667,0.1,0.8333333333333334,0.0016993708516417363,2,True
0.0666666667,0.1333333333,0.8,0.0010072017079174535,2,True
0.0666666667,0.1666666667,0.7666666666666666,0.0005276371836618914,2,True
0.0666666667,0.2,0.7333333333333333,0.00022300055032043522,2,True
0.0666666667,0.2333333333,0.7,6.269348369029907e-05,2,True
0.0666666667,0.2666666667,0.6666666666666666,2.1714826371215196e-05,2,True
0.0666666667,0.3,0.6333333333333333,7.952483074611827e-05,2,True
0.0666666667,0.3333333333,0.6,0.00021916591417601365,2,True
0.0666666667,0.3666666667,0.5666666666666667,0.0004265760098896818,2,True
0.0666666667,0.4,0.5333333333333333,0.0006900480096135677,2,True
0.0666666667,0.4333333333,0.5,0.0009998010862517744,2,True
0.0666666667,0.4666666667,0.4666666666666667,0.0013476384411485354,2,True
0.0666666667,0.5,0.43333333333333335,0.0017266723746126196,2,True
0.0666666667,0.5333333333,0.4,0.002131102224775653,2,True
0.0666666667,0.5666666667,0.36666666666666664,0.0025560341400219996,2,True
0.0666666667,0.6,0.3333333333333333,0.0029973342500085928,2,True
0.0666666667,0.6333333333,0.3,0.003451508781579377,2,True
0.0666666667,0.6666666667,0.26666666666666666,0.003915606226177653,2,True
0.0666666667,0.7,0.23333333333333334,0.00438713804531039,2,True
0.0666666667,0.7333333333,0.2,0.004864015801667456,2,True
0.0666666667,0.7666666667,0.16666666666666666,0.005344504561230756,2,True
0.0666666667,0.8,0.13333333333333333,0.005827196501614089,2,True
0.0666666667,0.8333333333,0.1,0.006311020650565575,2,True
0.0666666667,0.8666666667,0.06666666666666667,0.00679535495239944,2,True
0.0666666667,0.9,0.03333333333333333,0.007280671095057795,2,True
0.0666666667,0.9333333333,0.0,0.0077569891671076,2,True
0.1,0.0,0.9,0.00555317914261422,2,True
0.1,0.0333333333,0.8666666666666667,0.0039471607684110005,2,True
0.1,0.0666666667,0.8333333333333334,0.0027078044349346216,2,True
0.1,0.1,0.8,0.0017682808870011404,2,True
0.1,0.1333333333,0.7666666666666666,0.001075142989835388,2,True
0.1,0.1666666667,0.7333333333333333,0.0005853047459325047,2,True
