E_geo_GeV,Aeff,N,E_low_GeV,E_high_GeV,dlog10E
173.20508075688775,0.0190915514287135,12000.0,150.0,200.00000000000003,0.1249387366082999
204.93901531919192,0.19979150477630525,18000.0,200.0,209.99999999999991,0.021189299069937828
250.9980079602227,0.040910284614486446,22000.0,210.0,300.0000000000001,0.15490195998574352
324.037034920393,0.16664128539484713,30000.0,300.0,350.0,0.06694678963061307
396.86269665968854,0.1669148569951104,40000.0,350.0,449.99999999999983,0.10914446942506784
497.49371855330986,0.366862921183935,56000.0,450.0,549.9999999999998,0.08715017571890016
620.4836822995429,0.40792918991352906,60000.0,550.0,700.0000000000001,0.10473535052001326
793.7253933193771,0.6259307137316641,75000.0,700.0,899.9999999999998,0.10914446942506784
948.6832980505138,1.6655341975344966,70000.0,900.0,1000.0,0.04575749056067524
1095.445115010332,0.1428917841810597,9000.0,1000.0,1199.9999999999995,0.07918124604762466
1341.640786499874,0.9532686471620219,60000.0,1200.0,1500.0000000000005,0.09691001300805668
1732.0508075688774,0.8273005619109183,52000.0,1500.0,2000.0000000000002,0.1249387366082999
2049.390153191919,4.439811217251228,40000.0,2000.0,2099.999999999999,0.021189299069937828
2509.9800796022273,0.5578675174702697,30000.0,2100.0,3000.0000000000014,0.15490195998574352
3240.3703492039303,1.1109419026323144,20000.0,3000.0,3500.0000000000005,0.06694678963061307
3968.6269665968853,0.625930713731664,15000.0,3500.0,4499.999999999998,0.10914446942506784
5196.152422706631,0.47728878571783734,10000.0,4500.0,5999.999999999997,0.1249387366082999
6480.740698407861,0.7221122367109996,6500.0,6000.0,7000.000000000002,0.06694678963061351
7937.2539331937705,0.3755584282389984,4500.0,7000.0,8999.999999999998,0.10914446942506784
10392.304845413266,0.2863732714307015,3000.0,9000.0,12000.000000000007,0.12493873660830035
13416.407864998739,0.3177562157206754,2000.0,12000.0,15000.000000000004,0.09691001300805624
17320.508075688776,0.23864439285891878,1500.0,15000.0,20000.000000000004,0.1249387366082999
20000.0,inf,1000.0,20000.0,20000.000000000004,0.0
24494.897427831787,0.11174608710619592,700.0,20000.0,30000.00000000001,0.17609125905568135
33763.88603226827,0.16984400836635521,450.0,30000.0,38000.0,0.10266234189714751
41352.14625627068,0.22620147580422023,350.0,38000.0,45000.00000000003,0.07342891715853384
51961.52422706633,0.09545775714356751,200.0,45000.0,60000.00000000003,0.1249387366082999
64807.40698407861,0.16664128539484716,150.0,60000.0,70000.00000000001,0.06694678963061307
79372.53933193775,0.058420199948288426,70.0,70000.0,90000.00000000007,0.10914446942506828
94868.32980505138,0.14276007407438682,60.0,90000.0,100000.0,0.045757490560674796
122474.48713915893,0.03192745345891312,40.0,100000.0,150000.00000000003,0.17609125905568135
164316.76725154993,0.0714458920905295,30.0,150000.0,180000.00000000017,0.07918124604762511
189736.65961010277,0.09517338271625787,20.0,180000.0,200000.00000000003,0.045757490560674796
244948.97427831785,0.01596372672945656,10.0,200000.0,300000.0000000001,0.17609125905568135
324037.034920393,0.0194414832960655,3.5,300000.0,350000.0,0.06694678963061307
396862.6966596887,0.029210099974144213,7.0,350000.0,450000.0000000003,0.10914446942506828
519615.2422706633,0.019091551428713504,4.0,450000.0,600000.0000000003,0.1249387366082999
648074.069840786,0.03332825707896943,3.0,600000.0,700000.0000000001,0.06694678963061307
793725.3933193774,0.028375525689168665,3.4,700000.0,900000.0000000007,0.10914446942506828
1039230.4845413266,0.019091551428713504,2.0,900000.0,1200000.0000000007,0.1249387366082999
2323790.007724451,0.004645770896176427,1.0,1200000.0,4500000.000000003,0.5740312677277188
8714212.528966691,0.0174216408606616,1.0,4500000.0,16875000.00000001,0.5740312677277188
