E_low,E_high,E_center,N,delta_log10E,A_eff
150.0,200.0,173.20508075688772,12000.0,0.1249387366082999,0.004048580041535404
200.0,210.0,204.93901531919198,18000.0,0.021189299069937828,0.042368054881550384
210.0,300.0,250.99800796022265,22000.0,0.15490195998574352,0.008675489909879146
300.0,350.0,324.037034920393,30000.0,0.06694678963061307,0.035338174829034626
350.0,450.0,396.8626966596886,40000.0,0.10914446942506784,0.035396188790073495
450.0,550.0,497.49371855331,56000.0,0.08715017571890016,0.07779744387094802
550.0,700.0,620.4836822995428,60000.0,0.10473535052001326,0.08650601198180935
700.0,900.0,793.7253933193772,75000.0,0.10914446942506784,0.13273570796277562
900.0,1000.0,948.6832980505138,70000.0,0.04575749056067524,0.3531954192309051
1000.0,1200.0,1095.4451150103323,9000.0,0.07918124604762466,0.030301823699081437
1200.0,1500.0,1341.640786499874,60000.0,0.09691001300805668,0.20215142983702952
1500.0,2000.0,1732.0508075688772,52000.0,0.1249387366082999,0.17543846846653416
2000.0,2100.0,2049.3901531919196,40000.0,0.021189299069937828,0.9415123307011196
2100.0,3000.0,2509.980079602227,30000.0,0.15490195998574352,0.11830213513471563
3000.0,3500.0,3240.37034920393,20000.0,0.06694678963061307,0.2355878321935642
3500.0,4500.0,3968.6269665968857,15000.0,0.10914446942506784,0.1327357079627756
4500.0,6000.0,5196.152422706632,10000.0,0.1249387366082999,0.10121450103838511
6000.0,7000.0,6480.74069840786,6500.0,0.06694678963061351,0.15313209092581567
7000.0,9000.0,7937.253933193771,4500.0,0.10914446942506784,0.07964142477766535
9000.0,12000.0,10392.304845413264,3000.0,0.12493873660830035,0.06072870062303085
12000.0,15000.0,13416.407864998739,2000.0,0.09691001300805624,0.06738380994567683
15000.0,20000.0,17320.508075688773,1500.0,0.1249387366082999,0.05060725051919255
20000.0,30000.0,24494.89742783178,1700.0,0.17609125905568135,0.05754991868179935
30000.0,38000.0,33763.88603226827,450.0,0.10266234189714751,0.0360173485645705
38000.0,45000.0,41352.146256270666,350.0,0.07342891715853384,0.047968588814080004
45000.0,60000.0,51961.52422706632,200.0,0.1249387366082999,0.02024290020767702
60000.0,70000.0,64807.4069840786,150.0,0.06694678963061307,0.035338174829034626
70000.0,90000.0,79372.53933193772,70.0,0.10914446942506828,0.01238866607652567
90000.0,100000.0,94868.32980505138,60.0,0.045757490560674796,0.030273893076935014
100000.0,150000.0,122474.48713915891,40.0,0.17609125905568135,0.006770578668446983
150000.0,180000.0,164316.76725154984,30.0,0.07918124604762511,0.015150911849540634
180000.0,200000.0,189736.65961010277,20.0,0.045757490560674796,0.02018259538462334
200000.0,300000.0,244948.97427831782,10.0,0.17609125905568135,0.0033852893342234914
300000.0,350000.0,324037.034920393,3.5,0.06694678963061307,0.004122787063387374
350000.0,450000.0,396862.6966596886,7.0,0.10914446942506828,0.006194333038262835
450000.0,600000.0,519615.2422706632,4.0,0.1249387366082999,0.004048580041535404
600000.0,700000.0,648074.069840786,3.0,0.06694678963061307,0.007067634965806926
700000.0,900000.0,793725.3933193772,3.4,0.10914446942506828,0.006017352094312469
900000.0,1200000.0,1039230.4845413264,2.0,0.1249387366082999,0.004048580041535404
1200000.0,4500000.0,2323790.00772445,1.0,0.5740312677277188,0.0009851884168783538
4500000.0,5400000.0,4929503.017546495,1.0,0.07918124604762422,0.015150911849540802
